property_type,society,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,price,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
flat,experion windchants,sector 112,11572.0,4,5,3,11.0,Relatively New,6.5,4800.0,0,0,0,0,0,0,55,"28.5189° N, 77.0183° E",28.5189,77.0183
house,spaze privy,sector 72,6981.0,5,5,3+,14.0,Relatively New,3.09,3653.0,0,1,0,0,0,1,33,"28.4225° N, 77.0211° E",28.4225,77.0211
flat,m3m golfestate,sector 65,7760.0,3,3,3,9.0,Moderately Old,5.9,3043.0,1,0,0,0,0,2,21,"28.4030° N, 77.0690° E",28.403,77.069
flat,the lions cghs,sector 56,5771.0,4,4,3+,6.0,Relatively New,2.05,2500.0,0,0,0,0,1,1,101,"28.4245° N, 77.0991° E",28.4245,77.0991
flat,chd avenue,sector 71,12166.0,4,4,3,14.0,Moderately Old,1.32,1985.0,0,1,0,0,0,0,65,"28.4104° N, 77.0281° E",28.4104,77.0281
house,vipul tatvam villa,sector 48,26235.0,4,4,1,2.0,Relatively New,8.5,3240.0,0,0,0,0,0,0,21,"28.4177° N, 77.0359° E",28.4177,77.0359
house,vipul tatvam villa,sector 48,38194.0,4,4,3+,3.0,Relatively New,8.25,2160.0,0,1,1,0,0,1,160,"28.4177° N, 77.0359° E",28.4177,77.0359
flat,tulip purple,sector 69,6653.0,4,5,3+,5.0,Relatively New,1.92,2172.0,0,1,0,0,0,1,158,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,indiabulls centrum park,sector 103,16955.0,4,6,3,5.0,Relatively New,2.45,2602.0,0,1,0,0,0,0,38,"28.4949° N, 76.9845° E",28.4949,76.9845
flat,bestech altura,sector 79,4666.0,3,3,3,7.0,New Property,1.85,1650.0,0,1,0,0,0,0,53,"28.3624° N, 76.9787° E",28.3624,76.9787
house,ansal sushant lok plots,sector 43,29974.0,6,6,3,2.0,Relatively New,5.8,1935.0,0,1,0,0,1,1,49,"28.4629° N, 77.0772° E",28.4629,77.0772
house,housing board colony,sector 28,2593.0,8,8,3+,4.0,Moderately Old,2.1,900.0,0,0,0,0,1,1,38,"28.4728° N, 77.0865° E",28.4728,77.0865
flat,smart world orchard,sector 61,7173.0,3,3,3,2.0,New Property,2.54,3541.0,0,0,1,0,0,0,16,"28.4050° N, 77.0963° E",28.405,77.0963
flat,bestech park view grand spa,sector 81,14432.0,3,4,3+,8.0,New Property,2.4,2407.0,1,1,0,0,0,1,167,"28.3867° N, 76.9485° E",28.3867,76.9485
house,international city by sobha phase 1,sector 109,27333.0,5,5,3+,3.0,Relatively New,6.15,2250.0,0,1,1,1,0,1,130,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,indiabulls enigma,sector 110,11491.0,4,5,3,7.0,Relatively New,3.6,3077.0,0,1,0,0,0,0,165,"28.5145° N, 77.0197° E",28.5145,77.0197
house,vipul tatvam villa,sector 48,24069.0,4,5,3,2.0,Moderately Old,7.69,3195.0,1,1,1,1,0,1,110,"28.4177° N, 77.0359° E",28.4177,77.0359
flat,ireo skyon,sector 60,16746.0,2,2,2,2.0,Relatively New,2.12,1350.0,0,0,0,1,0,1,174,"28.4003° N, 77.0975° E",28.4003,77.0975
flat,emaar mgf emerald floors premier,sector 65,6510.0,3,3,2,4.0,Relatively New,2.35,1650.0,1,1,0,0,0,0,165,"28.4030° N, 77.0690° E",28.403,77.069
flat,tata primanti,sector 72,6382.0,4,4,3+,39.0,Relatively New,3.9,2509.0,0,1,0,0,1,0,49,"28.4225° N, 77.0211° E",28.4225,77.0211
flat,sidhartha ncr one phase,sector 95,6699.0,2,2,2,14.0,New Property,0.55,1256.0,1,0,0,0,0,0,90,"28.4172° N, 76.9081° E",28.4172,76.9081
flat,rof aalayas,sector 102,6531.0,1,1,2,6.0,Relatively New,0.45,750.0,0,0,0,0,0,0,0,"28.4750° N, 76.9715° E",28.475,76.9715
flat,dlf the primus,sector 82a,7231.0,3,3,3,31.0,Moderately Old,1.87,1668.0,0,0,0,1,0,0,38,"28.3858° N, 76.9686° E",28.3858,76.9686
flat,shree vardhman victoria,sector 70,14620.0,3,5,3,7.0,Relatively New,1.5,1527.0,0,1,0,0,0,1,174,"28.3968° N, 77.0233° E",28.3968,77.0233
flat,bestech altura,sector 79,11251.0,3,4,3+,3.0,New Property,2.69,2391.0,0,1,0,0,0,0,49,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,shree vardhman flora,sector 90,13919.0,2,2,3,11.0,Relatively New,0.65,1225.0,1,0,0,0,0,1,49,"28.4085° N, 76.9369° E",28.4085,76.9369
flat,paras dews,sector 106,6570.0,3,4,3+,18.0,Relatively New,1.13,1186.0,1,1,0,0,0,0,49,"28.5007° N, 77.0003° E",28.5007,77.0003
flat,bptp terra,sector 37d,7812.0,3,3,3+,11.0,Relatively New,1.55,1639.0,0,0,0,0,0,0,79,"28.4478° N, 76.9703° E",28.4478,76.9703
flat,tulip violet,sector 69,11701.0,2,3,1,0.0,Relatively New,1.19,1500.0,1,0,0,0,0,0,174,"28.3966° N, 77.0341° E",28.3966,77.0341
house,eros rosewood villas,sector 49,13514.0,3,3,2,2.0,Moderately Old,2.5,1900.0,0,0,1,1,0,0,59,"28.4121° N, 77.0480° E",28.4121,77.048
flat,orris aster court premier,sector 85,10555.0,4,5,3+,8.0,Relatively New,1.73,2017.0,0,1,0,0,0,0,16,"28.4042° N, 76.9513° E",28.4042,76.9513
flat,indiabulls enigma,sector 110,7539.0,5,5,3,4.0,Relatively New,3.79,3466.0,0,1,0,0,1,0,125,"28.5145° N, 77.0197° E",28.5145,77.0197
house,grover homes sec 4,sector 4,9374.0,5,5,1,1.0,Old Property,4.75,5067.0,1,1,0,1,0,1,35,"28.4738° N, 77.0107° E",28.4738,77.0107
flat,m3m heights,sector 65,7609.0,2,2,2,40.0,Relatively New,1.9,1358.0,0,0,0,0,0,0,48,"28.4030° N, 77.0690° E",28.403,77.069
flat,pyramid urban,sector 67a,8488.0,2,2,2,3.0,Relatively New,0.55,581.0,0,0,0,0,0,0,73,"28.3960° N, 77.0372° E",28.396,77.0372
flat,shree vardhman mantra,sector 67,10000.0,2,2,1,8.0,New Property,0.56,889.0,0,0,0,0,0,0,65,"28.3859° N, 77.0608° E",28.3859,77.0608
flat,raheja vedaanta,sector 108,12207.0,3,2,0,0.0,Relatively New,1.25,1991.0,0,0,0,0,0,1,65,"28.5134° N, 76.9830° E",28.5134,76.983
